Date,Open,High,Low,Close,Volume,Adj Close
1959-08-03,60.71,60.71,58.27,59.60,2532800,59.60
1959-07-01,58.97,60.62,58.91,60.51,3325900,60.51
1959-06-01,58.63,58.63,56.36,58.47,3068600,58.47
1959-05-01,57.65,58.68,56.88,58.68,3511400,58.68
1959-04-01,55.69,58.17,55.69,57.59,3606800,57.59
1959-03-02,55.73,56.67,55.44,55.44,4059500,55.44
1959-02-02,55.21,55.52,53.58,55.41,3688900,55.41
1959-01-02,55.44,56.04,54.89,55.45,4135200,55.45
1958-12-01,52.69,55.21,52.46,55.21,3805200,55.21
1958-11-03,51.56,53.24,51.02,52.48,4359400,52.48
1958-10-01,49.98,51.62,49.98,51.33,4301700,51.33
1958-09-02,48.00,50.06,47.97,50.06,3623800,50.06
1958-08-01,47.49,48.16,47.22,47.75,3074200,47.75
1958-07-01,45.28,47.19,45.11,47.19,3357700,47.19
1958-06-02,44.31,45.34,44.31,45.24,2830000,45.24
1958-05-01,43.54,44.09,43.12,44.09,2688000,44.09
1958-04-01,41.93,43.44,41.33,43.44,2531900,43.44
1958-03-03,41.13,42.58,41.13,42.10,2320400,42.10
1958-02-03,42.04,42.46,40.61,40.84,2088500,40.84
1958-01-02,40.33,41.88,40.33,41.70,2357200,41.70
1957-12-02,41.36,41.54,39.38,39.99,2833800,39.99
1957-11-01,40.44,41.72,39.44,41.72,2681000,41.72
1957-10-01,42.76,43.14,38.98,41.06,2875200,41.06
1957-09-03,45.44,45.44,42.42,42.42,1920500,42.42
1957-08-01,47.79,47.79,43.89,45.22,1954000,45.22
1957-07-01,47.43,49.13,47.43,47.91,2275400,47.91
1957-06-03,47.37,48.24,46.78,47.37,2262000,47.37
1957-05-01,46.02,47.43,46.02,47.43,2482200,47.43
1957-04-01,44.14,45.74,44.14,45.74,2404200,45.74
1957-03-01,43.74,44.23,43.74,44.11,1774700,44.11
1957-02-01,44.62,44.62,42.39,43.26,2060500,43.26
1957-01-02,46.20,46.66,44.40,44.72,2275400,44.72
1956-12-03,45.98,47.04,45.84,46.67,2632100,46.67
1956-11-01,46.52,47.60,44.38,45.08,2292500,45.08
1956-10-01,44.70,47.00,44.70,45.58,1851300,45.58
1956-09-04,47.89,48.10,45.35,45.35,2049400,45.35
1956-08-01,49.62,49.64,46.94,47.51,2003000,47.51
1956-07-02,46.93,49.48,46.93,49.39,2293800,49.39
1956-06-01,45.58,47.13,45.14,46.97,1855200,46.97
